"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
100,21.9210660606293,0.312391043733524,0.0281282808252655,20.0327886461496,295.652732973859,474.611961160823,497.225,688.375,1284.85,2.69652647185443,2.83782223324879,3.10885124815727,2169.70799811313,3.33640128991248,-0.301029995663981,1.09569324652075,-0.301029995663981
101,22.0049364331228,0.312362269546296,0.0544788939611244,20.091439068021,354.831328931666,606.769113757256,497.7,708.85,1624.4,2.69693618376449,2.8505504650297,3.21068116559988,2776.47711187039,3.44349409767916,-0.301029995663981,1.25339364417619,-0.301029995663981
102,22.0522590837026,0.307062151647613,0.0638467469870095,20.2680559387888,409.624532605698,775.260135991017,498.175,740.9,2084.175,2.69734508355923,2.86975801669356,3.3189320757795,3551.73724786141,3.55044082984736,-0.301029995663981,1.47712125471966,-0.301029995663981
103,22.0676709036775,0.297377057809708,0.0564937776723767,20.5137430523807,456.565738104059,989.777651779896,498.65,769.65,2640.9,2.69775317445177,2.88627536635675,3.42175183235309,4541.5148996413,3.6572007433447,-0.301029995663981,1.44610502518547,-0.301029995663981
104,22.0530064745757,0.284762176687597,0.035931152847806,20.768049983426,493.218593100671,1262.41088495824,499.65,789.55,3181.6,2.69862341330388,2.89735151295973,3.50264420872205,5803.92578459954,3.76372185043266,-0.301029995663981,1.25527250510331,-0.301029995663981
105,22.0075349430237,0.27100393756069,0.00818072036832995,20.96943942809,518.490153567924,1608.11655644327,500.7,816.5,3730.425,2.69954651012346,2.91192372276655,3.57175827792506,7412.0423410428,3.86993789154658,-0.301029995663981,1.12923107690825,-0.301029995663981
106,21.9285995612816,0.257920093069718,0,21.0648972319892,532.710176526782,2041.41993626968,501.75,845.825,4294.95,2.70046588476833,2.92722539007926,3.63295810058108,9457.24286553728,3.97576454202438,-0.301029995663981,1.3768842477178,-0.301029995663981
107,21.8125405038727,0.247055474202098,0,21.016840757216,537.469764319989,2568.82532761942,502.275,867.775,4798.275,2.70092418563219,2.93834671631107,3.68108494424477,12052.9870634839,4.0810946904317,-0.301029995663981,1.38701945419537,-0.301029995663981
108,21.6557337154887,0.239433186900595,0,20.806187838659,535.259399457613,3218.00153124222,502.75,897.775,5362.325,2.70133066828371,2.95311105846066,3.72935303990746,15338.8433808783,4.18579261305233,-0.301029995663981,1.44715803134222,-0.301029995663981
109,21.4555618379578,0.235409922702992,0,20.4313959083033,528.983737826607,4009.31703896205,502.75,917,5921.375,2.70133066828371,2.96226642498039,3.77242252716358,19484.392583082,4.28968687141033,-0.301029995663981,1.2137023509283,-0.301029995663981
